,업종명,업소명,소재지도로명,소재지지번,행정동명,업태명,X,Y
0,휴게음식점,터틀,    ,서울특별시 서대문구 충정로3가  32번지 10호  ,충현동,다방,126.960942,37.561438
1,휴게음식점,호원당,    ,서울특별시 서대문구 대현동  54번지 24호  ,신촌동,과자점,126.946353,37.558101
2,휴게음식점,노타리,    ,서울특별시 서대문구 창천동  18번지 52호  ,신촌동,다방,126.938076,37.557594
3,휴게음식점,코드리옹,    ,서울특별시 서대문구 창천동  30번지 6호  ,신촌동,다방,126.937571,37.556481
4,휴게음식점,역전,    ,서울특별시 서대문구 대현동  121번지 8호  ,신촌동,다방,126.941815,37.558898
5,휴게음식점,뉴-이태리,    ,서울특별시 서대문구 충정로2가  139번지 2호  ,충현동,과자점,126.966504,37.56519
6,휴게음식점,팡세,    ,서울특별시 서대문구 홍제동  173번지 29호  ,홍제제1동,다방,126.944892,37.587912
7,휴게음식점,화양,    ,서울특별시 서대문구 충정로2가  141번지 3호  ,충현동,다방,126.966707,37.565245
8,휴게음식점,이삭,서울특별시 서대문구 북아현로 2 (북아현동(지하1층)),서울특별시 서대문구 북아현동  135번지 9호  (지하1층),북아현동,다방,126.957448,37.559515
9,휴게음식점,로타리커피숍,    ,서울특별시 서대문구 영천동  287번지 0호  ,천연동,다방,126.960828,37.571231
10,휴게음식점,스칼렛커피숍,서울특별시 서대문구 신촌로 77 (창천동),서울특별시 서대문구 창천동  72번지 3호  ,신촌동,다방,126.934457,37.558201
11,휴게음식점,희,    ,서울특별시 서대문구 미근동  193번지 0호  ,충현동,다방,126.967442,37.564495
12,휴게음식점,발리,    ,서울특별시 서대문구 대현동  40번지 22호  ,신촌동,다방,126.944783,37.557879
13,휴게음식점,은호커피숍,    ,서울특별시 서대문구 영천동  277번지 0호  ,천연동,다방,126.960804,37.571348
14,휴게음식점,아이.시스원두커피전,    ,서울특별시 서대문구 창천동  506번지 22호  ,신촌동,다방,126.929389,37.55875
15,휴게음식점,노라노,    ,서울특별시 서대문구 충정로2가  64번지 12호  ,충현동,다방,126.963799,37.565977
16,휴게음식점,보리수,    ,서울특별시 서대문구 남가좌동  259번지 2호  ,남가좌제1동,다방,126.913553,37.572148
17,휴게음식점,별다방,서울특별시 서대문구 명지대3길 1 (남가좌동),서울특별시 서대문구 남가좌동  5번지 178호  ,남가좌제1동,다방,126.922719,37.58263
18,휴게음식점,티지움,    ,서울특별시 서대문구 홍은동  48번지 84호  ,홍은제1동,다방,126.943897,37.592606
19,휴게음식점,연희,    ,서울특별시 서대문구 연희동  187번지 58호  ,연희동,다방,126.929214,37.571029
20,휴게음식점,청자,    ,서울특별시 서대문구 홍제동  299번지 3호  ,홍제제1동,다방,126.943298,37.590934
21,휴게음식점,명,    ,서울특별시 서대문구 옥천동  1번지 0호  ,천연동,다방,126.962823,37.569446
22,휴게음식점,명,서울특별시 서대문구 통일로 107-15 (미근동(지하1층)),서울특별시 서대문구 미근동  177번지  (지하1층),충현동,다방,126.967227,37.564493
23,휴게음식점,굴레방,    ,서울특별시 서대문구 북아현동  135번지 10호  ,북아현동,다방,126.957448,37.559515
24,휴게음식점,학,    ,서울특별시 서대문구 남가좌동  349번지 1호  ,남가좌제2동,다방,126.922236,37.576805
25,휴게음식점,호수,서울특별시 서대문구 수색로 28-3 (남가좌동),서울특별시 서대문구 남가좌동  291번지 33호  ,남가좌제1동,다방,126.915977,37.570467
26,휴게음식점,향,    ,서울특별시 서대문구 남가좌동  241번지 15호  ,남가좌제1동,다방,126.916403,37.575427
27,휴게음식점,길,    ,서울특별시 서대문구 남가좌동  292번지 12호  ,남가좌제1동,다방,126.915846,37.570169
28,휴게음식점,문화,    ,서울특별시 서대문구 홍제동  279번지 12호  ,홍제제3동,다방,126.948305,37.59479
29,휴게음식점,삼성,    ,서울특별시 서대문구 홍은동  9번지 143호  ,홍은제1동,다방,126.950476,37.598215
30,휴게음식점,궁전,    ,서울특별시 서대문구 홍은동  57번지 1호  ,홍은제1동,과자점,126.941314,37.591907
31,휴게음식점,동경빵집,    ,서울특별시 서대문구 창천동  18번지 55호  ,신촌동,과자점,126.938076,37.557594
32,휴게음식점,덴마크,    ,서울특별시 서대문구 남가좌동  291번지 6호  ,남가좌제1동,과자점,126.915977,37.570467
33,휴게음식점,금방석,    ,서울특별시 서대문구 홍제동  294번지 25호  ,홍제제1동,다방,126.946802,37.593776
34,휴게음식점,금모래,    ,서울특별시 서대문구 남가좌동  102번지 20호  ,남가좌제1동,다방,126.919959,37.571423
35,휴게음식점,오시오,    ,서울특별시 서대문구 북가좌동  115번지 36호  ,북가좌제1동,다방,126.914567,37.574824
36,휴게음식점,대화,    ,서울특별시 서대문구 창천동  30번지 10호  ,신촌동,다방,126.937571,37.556481
37,휴게음식점,부산뉴욕,    ,서울특별시 서대문구 홍제동  104번지 44호  ,홍제제2동,과자점,126.949172,37.584643
38,휴게음식점,목화다방,서울특별시 서대문구 세검정로 46 (홍제동),서울특별시 서대문구 홍제동  266번지 60호  ,홍제제3동,다방,126.94497,37.591958
39,휴게음식점,동아,    ,서울특별시 서대문구 미근동  31번지 13호  ,충현동,다방,126.967079,37.564492
40,휴게음식점,은하수,    ,서울특별시 서대문구 충정로3가  189번지 9호  ,충현동,다방,126.964369,37.563189
41,휴게음식점,학,서울특별시 서대문구 연희로 267 (홍은동),서울특별시 서대문구 홍은동  274번지 20호  ,홍은제2동,다방,126.934251,37.580599
42,휴게음식점,금좌당,    ,서울특별시 서대문구 남가좌동  293번지 20호  ,남가좌제1동,기타 휴게음식점,126.915149,37.569027
43,휴게음식점,금오,    ,서울특별시 서대문구 북가좌동  292번지 1호  ,북가좌제2동,다방,126.913845,37.581647
44,휴게음식점,금잔디,    ,서울특별시 서대문구 현저동  58번지 1호  ,천연동,다방,126.956032,37.575856
45,휴게음식점,에이스베이커리,    ,서울특별시 서대문구 영천동  291번지 0호  ,천연동,과자점,126.960726,37.571275
46,휴게음식점,왕실,    ,서울특별시 서대문구 창천동  30번지 7호  ,신촌동,다방,126.937571,37.556481
47,휴게음식점,세비앙,    ,서울특별시 서대문구 대현동  45번지 10호  ,신촌동,다방,126.946027,37.557188
48,휴게음식점,삼거리,    ,서울특별시 서대문구 북가좌동  113번지 7호  ,북가좌제2동,다방,126.914301,37.575227
49,휴게음식점,새정다방,    ,서울특별시 서대문구 미근동  320번지 0호  ,충현동,다방,126.968213,37.561916
50,휴게음식점,황해,    ,서울특별시 서대문구 홍제동  174번지 56호  ,홍제제1동,다방,126.945221,37.587834
51,휴게음식점,복지,    ,서울특별시 서대문구 창천동  18번지 31호  ,신촌동,다방,126.938076,37.557594
52,휴게음식점,백련,    ,서울특별시 서대문구 남가좌동  339번지 32호  ,남가좌제2동,다방,126.92454,37.577204
53,휴게음식점,새독일빵직,    ,서울특별시 서대문구 북가좌동  115번지 9호  ,북가좌제1동,과자점,126.914567,37.574824
54,휴게음식점,환희,    ,서울특별시 서대문구 남가좌동  291번지 6호  ,남가좌제1동,다방,126.915977,37.570467
55,휴게음식점,연화다방,    ,서울특별시 서대문구 연희동  89번지 9호  ,연희동,다방,126.935774,37.570602
56,휴게음식점,명지다방,    ,서울특별시 서대문구 남가좌동  184번지 15호  ,남가좌제2동,다방,126.918149,37.57528
57,휴게음식점,명다방,    ,서울특별시 서대문구 홍제동  266번지 184호  ,홍제제1동,다방,126.94497,37.591958
58,휴게음식점,세화,    ,서울특별시 서대문구 홍은동  275번지 7호  ,홍은제1동,다방,126.935331,37.580266
59,휴게음식점,샘터,    ,서울특별시 서대문구 남가좌동  268번지 22호  ,남가좌제1동,다방,126.913513,37.570976
60,휴게음식점,연궁다방,    ,서울특별시 서대문구 연희동  134번지 22호  ,연희동,다방,126.931317,37.568841
61,휴게음식점,가미식당,    ,서울특별시 서대문구 남가좌동  324번지 20호  ,남가좌제2동,일반조리판매,126.924531,37.580988
62,휴게음식점,야자수과자점,    ,서울특별시 서대문구 냉천동  213번지 0호  ,천연동,과자점,126.964087,37.568052
63,휴게음식점,유일제과,    ,서울특별시 서대문구 홍제동  294번지 4호  ,홍제제1동,과자점,126.946802,37.593776
64,휴게음식점,사계절,    ,서울특별시 서대문구 대현동  45번지 9호  ,신촌동,다방,126.946027,37.557188
65,휴게음식점,코이노니아명과,    ,서울특별시 서대문구 남가좌동  324번지 31호  ,남가좌제2동,과자점,126.924531,37.580988
66,휴게음식점,아정,    ,서울특별시 서대문구 냉천동  163번지 0호  ,천연동,다방,126.964859,37.567076
67,휴게음식점,덕인다방,    ,서울특별시 서대문구 홍제동  172번지 11호  ,홍제제1동,다방,126.944883,37.587749
68,휴게음식점,약다방,    ,서울특별시 서대문구 충정로2가  7번지 2호  ,충현동,다방,126.966084,37.566096
69,휴게음식점,홍제고려당,    ,서울특별시 서대문구 홍제동  139번지 4호  ,홍제제1동,과자점,126.947762,37.586721
70,휴게음식점,경기,    ,서울특별시 서대문구 충정로2가  99번지 11호  ,충현동,다방,126.965536,37.564785
71,휴게음식점,종,    ,서울특별시 서대문구 충정로3가  307번지 0호  ,충현동,다방,126.964911,37.560076
72,휴게음식점,이형직베이커리,    ,서울특별시 서대문구 남가좌동  267번지 11호  ,남가좌제1동,과자점,126.912876,37.570439
73,휴게음식점,연세,    ,서울특별시 서대문구 창천동  9번지 20호  ,신촌동,다방,126.939364,37.558516
74,휴게음식점,대호,    ,서울특별시 서대문구 영천동  69번지 20호  ,천연동,다방,126.959525,37.571309
75,휴게음식점,일신,    ,서울특별시 서대문구 냉천동  20번지 1호  ,천연동,다방,126.96446,37.567253
76,휴게음식점,거북제과점,    ,서울특별시 서대문구 남가좌동  251번지 20호  ,남가좌제1동,과자점,126.913584,37.573941
77,휴게음식점,뉴코아,    ,서울특별시 서대문구 창천동  506번지 17호  ,신촌동,과자점,126.929389,37.55875
78,휴게음식점,신라베이커리,    ,서울특별시 서대문구 남가좌동  354번지 19호  ,남가좌제2동,과자점,126.920305,37.578093
79,휴게음식점,유명옥베이커리,    ,서울특별시 서대문구 남가좌동  291번지 33호  ,남가좌제1동,과자점,126.915977,37.570467
80,휴게음식점,자유궁,    ,서울특별시 서대문구 충정로2가  26번지 0호  ,충현동,다방,126.965613,37.565777
81,휴게음식점,까치,    ,서울특별시 서대문구 홍제동  139번지 45호  ,홍제제2동,다방,126.947762,37.586721
82,휴게음식점,연다방,    ,서울특별시 서대문구 홍제동  59번지 10호  ,홍제제1동,다방,126.950242,37.58104
83,휴게음식점,삼호떡집.마15-2,    ,서울특별시 서대문구 홍은동  48번지 0호  ,홍은제1동,일반조리판매,126.943897,37.592606
84,휴게음식점,크라운베이커리,    ,서울특별시 서대문구 창천동  31번지 38호  ,신촌동,과자점,126.936683,37.556834
85,휴게음식점,프랑스딕시랜드,    ,서울특별시 서대문구 충정로2가  189번지 0호  ,충현동,과자점,126.962555,37.563425
86,휴게음식점,부림,서울특별시 서대문구 연희로 251 (연희동),서울특별시 서대문구 연희동  169번지 14호  ,연희동,다방,126.936669,37.579332
87,휴게음식점,울타리,    ,서울특별시 서대문구 충정로3가  189번지 0호  ,충현동,다방,126.964369,37.563189
88,휴게음식점,윤다방,    ,서울특별시 서대문구 남가좌동  291번지 1호  ,남가좌제1동,다방,126.915977,37.570467
89,휴게음식점,육교다방,    ,서울특별시 서대문구 홍은동  104번지 1호  ,홍은제2동,다방,126.940516,37.593873
90,휴게음식점,홍제다방,    ,서울특별시 서대문구 홍제동  165번지 2호  ,홍제제1동,다방,126.946821,37.585992
91,휴게음식점,파리제과점,    ,서울특별시 서대문구 남가좌동  7번지 6호  ,남가좌제1동,과자점,126.92313,37.581561
92,휴게음식점,덴마크,    ,서울특별시 서대문구 남가좌동  76번지 133호  ,남가좌제2동,과자점,126.921687,37.574096
93,휴게음식점,림스베이커리,    ,서울특별시 서대문구 남가좌동  339번지 34호  ,남가좌제2동,과자점,126.92454,37.577204
94,휴게음식점,디바,    ,서울특별시 서대문구 북아현동  136번지 3호  ,북아현동,다방,126.956409,37.557721
95,휴게음식점,아림,    ,서울특별시 서대문구 홍은동  103번지 13호  ,홍은제1동,다방,126.94067,37.59337
96,휴게음식점,돌체,    ,서울특별시 서대문구 냉천동  226번지 0호  ,천연동,다방,126.9645,37.567632
97,휴게음식점,준,    ,서울특별시 서대문구 홍제동  326번지 20호  ,홍제제1동,다방,126.941625,37.59073
98,휴게음식점,길다방,    ,서울특별시 서대문구 홍제동  299번지 12호  ,홍제제3동,다방,126.943298,37.590934
99,휴게음식점,별밭다방,    ,서울특별시 서대문구 옥천동   ,천연동,다방,126.959122,37.56936
100,휴게음식점,몽블랑,    ,서울특별시 서대문구 홍제동  153번지 2호  ,홍제제1동,과자점,126.946352,37.585519
101,휴게음식점,서울뉴욕제과,    ,서울특별시 서대문구 홍제동  292번지 31호  ,홍제제3동,과자점,126.947561,37.596135
102,휴게음식점,부산뉴욕제과,    ,서울특별시 서대문구 홍은동  48번지 346호  ,홍은제1동,과자점,126.943897,37.592606
103,휴게음식점,베이커리여명,    ,서울특별시 서대문구 연희동  106번지 3호  ,연희동,과자점,126.927743,37.572566
104,휴게음식점,독일제과,    ,서울특별시 서대문구 홍은동  265번지 15호  ,홍은제2동,과자점,126.939153,37.590176
105,휴게음식점,신라베이커리,    ,서울특별시 서대문구 냉천동  204번지 0호  ,천연동,과자점,126.963937,37.568285
106,휴게음식점,승배베이커리,    ,서울특별시 서대문구 남가좌동  184번지 18호  ,남가좌제2동,과자점,126.918149,37.57528
107,휴게음식점,빵의나라,    ,서울특별시 서대문구 북가좌동  300번지 16호  ,북가좌제1동,과자점,126.911976,37.580134
108,휴게음식점,태양다방,    ,서울특별시 서대문구 영천동  69번지 9호  ,천연동,다방,126.959525,37.571309
109,휴게음식점,회심,    ,서울특별시 서대문구 홍제동  91번지 8호  ,홍제제1동,다방,126.949162,37.582931
110,휴게음식점,길다방,    ,서울특별시 서대문구 영천동  280번지 0호  ,천연동,다방,126.960976,37.571196
111,휴게음식점,미미,    ,서울특별시 서대문구 홍은동  135번지 1호  ,홍은제1동,다방,126.942162,37.595168
112,휴게음식점,우정,    ,서울특별시 서대문구 홍제동  330번지 52호  ,홍제제1동,다방,126.94198,37.5904
113,휴게음식점,모정,    ,서울특별시 서대문구 현저동  82번지 7호  ,천연동,다방,126.956032,37.575856
114,휴게음식점,대호커피숍,    ,서울특별시 서대문구 홍제동  139번지 5호  ,홍제제2동,다방,126.947762,37.586721
115,휴게음식점,코파,    ,서울특별시 서대문구 냉천동  232번지 0호  ,천연동,다방,126.964627,37.567516
116,휴게음식점,솔,    ,서울특별시 서대문구 충정로3가  368번지 2호  ,충현동,다방,126.963213,37.560034
117,휴게음식점,오두막,    ,서울특별시 서대문구 냉천동  204번지 0호  ,천연동,다방,126.963937,37.568285
118,휴게음식점,크르아상베이커리,    ,서울특별시 서대문구 연희동  12번지 3   호  (12블럭3호),연희동,과자점,126.93921,37.574201
119,휴게음식점,고려제과,    ,서울특별시 서대문구 북가좌동  3번지 40호  ,북가좌제1동,과자점,126.917924,37.582207
120,휴게음식점,박병태제과,    ,서울특별시 서대문구 홍은동  395번지 54호  ,홍은제2동,과자점,126.930288,37.57904
121,휴게음식점,길커피숍,    ,서울특별시 서대문구 충정로2가  139번지 2호  ,충현동,다방,126.966504,37.56519
122,휴게음식점,성산,    ,서울특별시 서대문구 연희동  421번지 33호  ,연희동,다방,126.925964,37.566387
123,휴게음식점,본전,    ,서울특별시 서대문구 남가좌동  251번지 1호  ,남가좌제2동,다방,126.913584,37.573941
124,휴게음식점,삼성,    ,서울특별시 서대문구 연희동  106번지 1호  ,연희동,다방,126.927743,37.572566
125,휴게음식점,원다방,    ,서울특별시 서대문구 남가좌동  289번지 6호  ,남가좌제1동,다방,126.914998,37.570837
126,휴게음식점,한가람,    ,서울특별시 서대문구 대현동  60번지 4호  ,신촌동,다방,126.945095,37.559035
127,휴게음식점,성심,    ,서울특별시 서대문구 남가좌동  291번지 58호  ,남가좌제1동,다방,126.915977,37.570467
128,휴게음식점,서림커피숍,    ,서울특별시 서대문구 연희동  188번지 88호  ,연희동,다방,126.928268,37.569084
129,휴게음식점,희정다방,    ,서울특별시 서대문구 북가좌동  278번지 1호  ,북가좌제1동,다방,126.914459,37.583059
130,휴게음식점,청,    ,서울특별시 서대문구 연희동  90번지 5호  ,연희동,다방,126.932223,37.56957
131,휴게음식점,대호,    ,서울특별시 서대문구 북아현동  138번지 25호  ,북아현동,다방,126.955902,37.558402
132,휴게음식점,브레스트과자점,    ,서울특별시 서대문구 연희동  421번지 33호  ,연희동,과자점,126.925964,37.566387
133,휴게음식점,고려당,    ,서울특별시 서대문구 충정로2가   ,충현동,과자점,126.964131,37.564881
134,휴게음식점,호텔신라제과신촌분점,    ,서울특별시 서대문구 창천동  30번지 15호  ,신촌동,과자점,126.937571,37.556481
135,휴게음식점,가나안제과연희지,    ,서울특별시 서대문구 연희동  134번지 2호  ,연희동,과자점,126.931317,37.568841
136,휴게음식점,생크림케익,    ,서울특별시 서대문구 북가좌동  304번지 21호  ,북가좌제2동,과자점,126.912021,37.577864
137,휴게음식점,거북커피숍,    ,서울특별시 서대문구 홍제동  91번지 12호  ,홍제제1동,다방,126.949162,37.582931
138,휴게음식점,티앙팡,    ,서울특별시 서대문구 대현동  54번지 28호  ,신촌동,다방,126.946353,37.558101
139,휴게음식점,팬,    ,서울특별시 서대문구 북아현동  176번지 2호  ,충현동,다방,126.953172,37.560972
140,휴게음식점,제일다방,    ,서울특별시 서대문구 북가좌동  309번지 3호  ,북가좌제2동,다방,126.910893,37.579872
141,휴게음식점,로마다방,    ,서울특별시 서대문구 북가좌동  333번지 7호  ,북가좌제1동,다방,126.913229,37.583516
142,휴게음식점,신촌,    ,서울특별시 서대문구 창천동  72번지 2호  ,신촌동,다방,126.934457,37.558201
143,휴게음식점,수성,    ,서울특별시 서대문구 북가좌동  392번지 22호  ,북가좌제1동,다방,126.906063,37.574196
144,휴게음식점,다도원,    ,서울특별시 서대문구 대현동  56번지 1호  ,신촌동,다방,126.945992,37.558016
145,휴게음식점,육교다방,    ,서울특별시 서대문구 창천동  506번지 17호  ,신촌동,다방,126.929389,37.55875
146,휴게음식점,성좌,    ,서울특별시 서대문구 미근동  216번지 0호  ,충현동,다방,126.968435,37.563071
147,휴게음식점,늘봄,    ,서울특별시 서대문구 남가좌동  268번지 15호  ,남가좌제1동,다방,126.913513,37.570976
148,휴게음식점,별채다방,    ,서울특별시 서대문구 홍제동  299번지 15호  ,홍제제3동,다방,126.943298,37.590934
149,휴게음식점,홍남,서울특별시 서대문구 홍제천로 116 (연희동(지하1층)),서울특별시 서대문구 연희동  702번지  (지하1층),연희동,다방,126.926947,37.575136
150,휴게음식점,희다방,    ,서울특별시 서대문구 홍은동  345번지 3호  ,홍은제1동,다방,126.92363,37.584629
151,휴게음식점,삼일,    ,서울특별시 서대문구 홍은동  217번지 0호  ,홍은제2동,다방,126.939585,37.59082
152,휴게음식점,독수리,    ,서울특별시 서대문구 창천동  31번지 6호  ,신촌동,다방,126.936683,37.556834
153,휴게음식점,역마차,    ,서울특별시 서대문구 남가좌동  293번지 77호  8083,남가좌제1동,다방,126.915149,37.569027
154,휴게음식점,부산뉴욕제과,    ,서울특별시 서대문구 북아현동  221번지 13호  ,북아현동,과자점,126.952181,37.557405
155,휴게음식점,솔,    ,서울특별시 서대문구 홍은동  442번지 3호  ,홍은제1동,다방,126.941118,37.59451
156,휴게음식점,토토밀,    ,서울특별시 서대문구 대신동  50번지 0호  ,신촌동,과자점,126.943901,37.563476
157,휴게음식점,미미,    ,서울특별시 서대문구 홍은동  113번지 1호  ,홍은제1동,과자점,126.940707,37.594785
158,휴게음식점,영국빵집,    ,서울특별시 서대문구 남가좌동  344번지 32호  ,남가좌제1동,과자점,126.92286,37.578315
159,휴게음식점,보리수,    ,서울특별시 서대문구 미근동  167번지 0호  ,충현동,다방,126.967233,37.564818
160,휴게음식점,별다방,    ,서울특별시 서대문구 대현동  27번지 45호  ,신촌동,다방,126.946669,37.559788
161,휴게음식점,우정,    ,서울특별시 서대문구 북가좌동  304번지 21호  ,북가좌제2동,다방,126.912021,37.577864
162,휴게음식점,여로다방,    ,서울특별시 서대문구 남가좌동  341번지 10호  ,남가좌제1동,다방,126.924146,37.57784
163,휴게음식점,태양,서울특별시 서대문구 세검정로 13 (홍은동),서울특별시 서대문구 홍은동  48번지 199호  ,홍은제1동,다방,126.943897,37.592606
164,휴게음식점,태양,    ,서울특별시 서대문구 남가좌동  3번지 3호  ,남가좌제2동,다방,126.922951,37.584587
165,휴게음식점,현대다방,    ,서울특별시 서대문구 대현동  90번지 25호  ,신촌동,다방,126.946673,37.557887
166,휴게음식점,모닥불,    ,서울특별시 서대문구 충정로2가  29번지 0호  ,충현동,다방,126.965671,37.56566
167,휴게음식점,일신,    ,서울특별시 서대문구 북가좌동  306번지 7호  ,북가좌제2동,다방,126.911058,37.578648
168,휴게음식점,동광다방,    ,서울특별시 서대문구 홍제동  163번지 2호  ,홍제제1동,다방,126.947372,37.585447
169,휴게음식점,태평양,    ,서울특별시 서대문구 연희동  353번지 89호  ,연희동,다방,126.928122,37.561883
170,휴게음식점,주재근베이커리,    ,서울특별시 서대문구 북아현동  135번지 10호  ,북아현동,과자점,126.957448,37.559515
171,휴게음식점,동광,    ,서울특별시 서대문구 홍제동  172번지 5호  ,홍제제1동,다방,126.944883,37.587749
172,휴게음식점,부산뉴욕,    ,서울특별시 서대문구 연희동  181번지 248호  ,연희동,과자점,126.932148,37.575597
173,휴게음식점,은혜제과,    ,서울특별시 서대문구 홍제동  361번지 32호  ,홍제제1동,과자점,126.937127,37.584526
174,휴게음식점,윈첼도우넛하우스,    ,서울특별시 서대문구 대현동  45번지 10호  ,신촌동,과자점,126.946027,37.557188
175,휴게음식점,거북당,    ,서울특별시 서대문구 북아현동  138번지 24호  ,북아현동,과자점,126.955902,37.558402
176,휴게음식점,뉴욕제과-분점,    ,서울특별시 서대문구 대현동  27번지 27호  ,신촌동,과자점,126.946669,37.559788
177,휴게음식점,가나안제과,    ,서울특별시 서대문구 홍은동  340번지 2호  ,홍은제2동,과자점,126.923178,37.585301
178,휴게음식점,삼미다방,    ,서울특별시 서대문구 연희동  446번지 285호  ,연희동,다방,126.922473,37.569031
179,휴게음식점,체스,    ,서울특별시 서대문구 남가좌동  291번지 26호  ,남가좌제1동,다방,126.915977,37.570467
180,휴게음식점,윤,    ,서울특별시 서대문구 남가좌동  152번지 1호  ,남가좌제1동,다방,126.917059,37.57081
181,휴게음식점,설궁다방,    ,서울특별시 서대문구 남가좌동  344번지 32호  ,남가좌제2동,다방,126.92286,37.578315
182,휴게음식점,돌,    ,서울특별시 서대문구 충정로2가  293번지 1호  ,충현동,다방,126.965725,37.565021
183,휴게음식점,한일,    ,서울특별시 서대문구 북가좌동  386번지 8호  ,북가좌제1동,다방,126.906343,37.575172
184,휴게음식점,뉴타운명과,    ,서울특별시 서대문구 홍은동  9번지 89호  ,홍은제1동,과자점,126.950476,37.598215
185,휴게음식점,푸른제과점,    ,서울특별시 서대문구 홍제동  137번지 17호  ,홍제제1동,과자점,126.94702,37.587138
186,휴게음식점,수다방,    ,서울특별시 서대문구 홍제동  279번지 15호  (지하1층),홍제제3동,다방,126.948305,37.59479
187,휴게음식점,란,    ,서울특별시 서대문구 북가좌동  299번지 7호  8,북가좌제2동,다방,126.912216,37.580037
188,휴게음식점,돌샘다방,    ,서울특별시 서대문구 연희동  135번지 1호  ,연희동,다방,126.932137,37.568479
189,휴게음식점,금성다방,    ,서울특별시 서대문구 남가좌동  262번지 9호  ,남가좌제2동,다방,126.913753,37.571609
190,휴게음식점,사랑방,    ,서울특별시 서대문구 홍제동  278번지 55호  ,홍제제1동,다방,126.947498,37.595801
191,휴게음식점,금마,    ,서울특별시 서대문구 홍제동  253번지 8호  ,홍제제1동,다방,126.946612,37.588765
192,휴게음식점,학사,    ,서울특별시 서대문구 홍은동  409번지 51호  ,홍은제1동,다방,126.926432,37.580303
193,휴게음식점,봉다방,    ,서울특별시 서대문구 영천동  299번지 0호  ,천연동,다방,126.961285,37.570928
194,휴게음식점,돌맨,    ,서울특별시 서대문구 냉천동  209번지 0호  ,천연동,다방,126.96387,37.568194
195,휴게음식점,몬타커피점,    ,서울특별시 서대문구 창천동  29번지 98호  ,신촌동,다방,126.939526,37.556697
196,휴게음식점,솔다방,    ,서울특별시 서대문구 북가좌동  273번지 8호  ,북가좌제2동,다방,126.910864,37.5788
197,휴게음식점,백마,    ,서울특별시 서대문구 남가좌동  347번지 2호  ,남가좌제2동,다방,126.923089,37.57656
198,휴게음식점,민들레다방,    ,서울특별시 서대문구 홍제동  298번지 9호  ,홍제제3동,다방,126.943965,37.591021
199,휴게음식점,곰다방,    ,서울특별시 서대문구 연희동  172번지 4호  ,연희동,다방,126.93783,37.582893
200,휴게음식점,현대다방,    ,서울특별시 서대문구 영천동  325번지 0호  ,천연동,다방,126.961928,37.570267
201,휴게음식점,윤미다방,    ,서울특별시 서대문구 홍은동  104번지 1호  ,홍은제2동,다방,126.940516,37.593873
202,휴게음식점,주-크라운베이크리,    ,서울특별시 서대문구 대현동  40번지 40호  ,신촌동,과자점,126.944783,37.557879
203,휴게음식점,사랑방,    ,서울특별시 서대문구 창천동  20번지 99호  ,신촌동,다방,126.93877,37.556537
204,휴게음식점,고려당유진상가분점,    ,서울특별시 서대문구 홍은동  48번지 0호  ,홍은제1동,과자점,126.943897,37.592606
205,휴게음식점,88뉴욕제과,    ,서울특별시 서대문구 홍제동  275번지 7호  ,홍제제1동,과자점,126.948655,37.594027
206,휴게음식점,영국빵집,    ,서울특별시 서대문구 연희동  172번지 4호  ,연희동,과자점,126.93783,37.582893
207,휴게음식점,크라운제과문화초,    ,서울특별시 서대문구 홍제동  285번지 23호  ,홍제제1동,과자점,126.949455,37.595909
208,휴게음식점,빅보이무악체인점,    ,서울특별시 서대문구 홍제동  47번지 19호  ,홍제제1동,과자점,126.950709,37.579224
209,휴게음식점,파티세리과자점,    ,서울특별시 서대문구 남가좌동  350번지 2호  ,남가좌제1동,과자점,126.92206,37.577272
210,휴게음식점,오두막,    ,서울특별시 서대문구 홍제동  294번지 4호  ,홍제제3동,다방,126.946802,37.593776
211,휴게음식점,진다방,    ,서울특별시 서대문구 남가좌동  291번지 40호  ,남가좌제1동,다방,126.915977,37.570467
212,휴게음식점,청다방,    ,서울특별시 서대문구 홍제동  103번지 2호  ,홍제제2동,다방,126.949209,37.584418
213,휴게음식점,파파존스피자,서울특별시 서대문구 성산로 379 (연희동),서울특별시 서대문구 연희동  341번지 1호  ,연희동,패스트푸드,126.931387,37.563904
214,휴게음식점,뉴욕제과충정로지점,    ,서울특별시 서대문구 충정로2가  368번지 2호  ,충현동,과자점,126.965725,37.565021
215,휴게음식점,세종,    ,서울특별시 서대문구 남가좌동  185번지 11호  ,남가좌제1동,다방,126.917717,37.575403
216,휴게음식점,윈첼도우넛하우스,    ,서울특별시 서대문구 창천동  18번지 29호  ,신촌동,과자점,126.938076,37.557594
217,휴게음식점,록음다방,    ,서울특별시 서대문구 홍은동  9번지 123호  ,홍은제1동,다방,126.950476,37.598215
218,휴게음식점,빅보이,    ,서울특별시 서대문구 냉천동  213번지 0호  ,천연동,과자점,126.964087,37.568052
219,휴게음식점,백제당,    ,서울특별시 서대문구 북아현동  187번지 7호  ,충현동,과자점,126.953021,37.564485
220,휴게음식점,서울뉴욕제과,    ,서울특별시 서대문구 충정로3가  174번지 1호  ,충현동,과자점,126.963331,37.563017
221,휴게음식점,새독일제과점,    ,서울특별시 서대문구 북아현동  126번지 13호  ,북아현동,과자점,126.957511,37.559047
